No.,Legacy,Fund,Revenue Accounts,FY 1978,FY 1979,FY 1980,FY 1981,FY 1982,FY 1983,FY 1984,FY 1985,FY 1986,FY 1987,FY 1988,FY 1989,FY 1990,FY 1991,FY 1992,FY 1993,FY 1994,FY 1995,FY 1996,FY 1997,FY 1998,FY 1999,FY 2000,FY 2001,FY 2002,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017
192,A001-400,General,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,7396500.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
193,A001-401,General,Targeted Aid (Income Tax Disparity), $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,18344250.00,29695892.00,34822600.00,37027988.00,37608296.00,50506100.00,51473148.00,56517264.00,61013224.00,64361932.00,76035628.00,75060704.00,69559288.00,69695420.00,76002036.00,78160604.00,75524256.00,79051792.00,79051792.00,79051792.00,77542494.00,79051792.00,79051792.00,79051790.00,77105345.00
194,A001-402,General,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,-4676957.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
195,A001-403,General,Teachers Retirement Supplemental Grant, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,-16146868.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,6972596.00,10047596.00,10047596.00,10047597.00,10047596.00
196,A001-404,General,Security Interest Filing Fees, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,2131469.00,2512441.00,3066478.00,2370249.00,2903985.00,3321404.00,3072900.00,3286910.00,2929656.00,2885858.00,2630249.00,3075175.00,2575220.00, $-   , $-   ,3075000.00, $-   , $-   , $-   , $-   
197,A001-406,General,Police Protection Aid, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,261338.00,345525.00,252212.00,407762.00,316350.00,312323.00,399887.00,6009.00,52808.00,61499.00,108263.00,32792.00,78993.00,53840.00,53840.00,53840.00,53840.00, $-   ,-13460.00, $-   , $-   
198,A001-415,General,Local Health Operations,6626061.00,7328240.00,7391155.00,8500418.00,7290846.00,8972455.00,8396987.00,8791579.00,8816748.00,10495164.00,10775997.00,11633755.00,12345521.00,11730264.00,8091467.00,5102442.00,6868684.00,7605423.00,8592710.00,9002893.00,9317000.00,9584000.00,9702216.00,10337003.00,12368330.00,11851668.00,11283020.00,12147025.00,11578155.00,11316279.00,11790994.00,12599229.00,6675053.00,6675053.00,8047707.00,4981384.00,6827538.00,7448751.00,7070887.00,10010783.00
199,A001-416,General,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
200,A001-443,General,,12902312.00,11278557.00,9947210.00,8898031.00,8758486.00,6153624.00,5629516.00,5071411.00,3934036.00,3369897.00,2526513.00,1844337.00,1811159.00,1793943.00,1577828.00,758540.00,736100.00,713660.00,691220.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
201,A001-444,General,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,226712.00,453420.00,453420.00,340066.00,453420.00,453420.00,453420.00,438610.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
202,A001-475,General,Library Services,2071838.00,2150956.00,2704221.00,2543237.00,2475361.00,2778982.00,2787380.00,2722252.00,2682132.00,3195363.00,3414042.00,3493143.00,3637284.00,3722058.00,3636720.00,3599540.00,3666084.00,3721176.00,4125258.00,4051752.00,4494696.00,5034018.00,4920792.00,5092564.00,6023172.00,5533560.00,5463630.00,5425974.00,5427216.00,6060600.00,6594432.00,6585528.00,6547632.00,6461489.00,6346260.00,6034345.00,6034796.00,6052829.00,8266080.00,8376847.00
203,A001-482,General,War Memorial,70585.00,67983.00,70933.00,75336.00,68039.00,96435.00,68564.00,87912.00,102040.00,106488.00,98632.00,100958.00,102418.00,83866.00,145985.00,95472.00,119004.00,106011.00,76595.00,110055.00,130000.00,179216.00,122993.00,156000.00,140623.00,135160.00,143150.00,159971.00,141548.00,188532.00,196869.00,141498.00,242405.00,182764.00,138869.00,65225.00,180000.00,173982.00,148816.00,164217.00
204,A001-590,General,Interest - Enoch Pratt Endowment,50000.00,50000.00,50000.00,50000.00,50000.00,50000.00,300000.00,219000.00,214866.00,168000.00,218000.00,215000.00,202000.00,176000.00,184000.00,200000.00,200000.00,187000.00,192000.00,177000.00,165000.00,161000.00,159000.00,159000.00,139000.00,111923.00,63589.00,74000.00,75000.00,93480.00,73215.00,74399.00,46000.00,25000.00,25000.00,25000.00, $-   ,25600.00,25663.00,26000.00
205,A001-591,General,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,43750.00,8750.00, $-   , $-   , $-   , $-   , $-   , $-   ,4000001.00,6000000.00,6000002.00,4099688.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
206,A001-592,General,Voluntary Payment in Lieu of Taxes, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,215000.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,100000.00, $-   , $-   ,100000.00,100000.00
207,A001-593,General,Comcast Youth Works Annual Grant, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,80000.00,80000.00,80000.00,80000.00,30000.00, $-   , $-   , $-   , $-   , $-   , $-   
208,A001-595,General,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,79948.00,79948.00,63382.00,39974.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
209,A001-614,General,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,141759.00,124342.00,204046.00,120415.00,179521.00,1.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
210,A001-615,General,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,6136.00,9783.00,7959.00,11148.00,15915.00,7175.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
211,A001-616,General,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,13882.00,38713.00,16890.00, $-   , $-   , $-   , $-   , $-   , $-   ,4979.00,1815.00, $-   , $-   , $-   , $-   , $-   , $-   ,120.00, $-   , $-   , $-   , $-   , $-   , $-   ,-75.00, $-   , $-   
212,A001-617,General,Emergency Repairs - Contractors' Fees, $-   , $-   , $-   , $-   , $-   , $-   ,7559.00,15737.00,22944.00,53695.00,35402.00,35352.00,50364.00,43009.00,23916.00,43509.00,17688.00,8986.00, $-   , $-   ,5923.00,3685.00,870.00,5218.00,2415.00,2082.00,2248.00,703.00, $-   ,256.00,1807.00,2568.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
213,A001-618,General,Transcriber Service Charges, $-   , $-   , $-   , $-   , $-   , $-   ,6153.00,10031.00,11553.00,7114.00,2460.00,1836.00, $-   ,2470.00,2278.00,3156.00,2838.00,5377.00,7140.00,4360.00,5360.00,4720.00,5770.00,6560.00,6640.00,7370.00,6085.00,4390.00,8760.00,8805.00,23397.00,14555.00,25715.00,29195.00,29625.00,21860.00,25613.00,16560.00,19000.00,63313.00
214,A001-619,General,, $-   , $-   , $-   , $-   , $-   , $-   ,3172.00,12707.00,17820.00,16403.00,14979.00,13980.00,15532.00,10480.00,11222.00,8952.00,6134.00,6983.00,5824.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
215,A001-620,General,RBDL Administration Fee, $-   , $-   , $-   , $-   , $-   ,481.00,5892.00,7158.00,12336.00,8985.00,9186.00,9564.00,8341.00,10347.00,8896.00,10200.00,8840.00,10304.00,6643.00,8355.00,6867.00,9575.00,4652.00,8495.00,7701.00,8014.00,6782.00,7552.00,7303.00,7866.00,7787.00,6153.00,6631.00,6915.00,6529.00,8516.00,6962.00,6480.00,7964.00,574.00
216,A001-621,General,Bill Drafting Service, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,9000.00,6425.00,9475.00,11905.00,11695.00,18315.00,15720.00,20705.00,14175.00,20959.00,22660.00,20460.00,14180.00,21982.00,26536.00,13624.00,22451.00,12639.00,14848.00,10226.00,17672.00,13431.00,31604.00,29448.00,37685.00,29484.00
217,A001-622,General,, $-   , $-   , $-   , $-   , $-   ,47810.00,79454.00,98301.00,105423.00,53026.00,46362.00,14720.00,9500.00,11250.00,15750.00,6030.00,4750.00,2750.00,6420.00,3500.00,250.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
218,A001-623,General,Zoning Appeal Fees, $-   , $-   , $-   , $-   , $-   ,6271.00,36114.00,71723.00,74885.00,67620.00,76001.00,64510.00,72513.00,58726.00,65621.00,73277.00,56809.00,69952.00,67251.00,76896.00,99778.00,81331.00,96594.00,89922.00,87332.00,85276.00,95203.00,95703.00,119500.00,135658.00,136295.00,107123.00,90844.00,106605.00,97090.00,90935.00,84166.00,81939.00,73845.00,69614.00
219,A001-624,General,Rehab Loan Application Fees, $-   , $-   , $-   , $-   , $-   ,67482.00,36638.00,142626.00,35832.00,132498.00,70508.00,80926.00,18730.00,60300.00,32534.00,45575.00,24734.00,28458.00,14672.00,14628.00,5607.00,20457.00,25258.00,9371.00,35910.00,4678.00,12325.00,10536.00,4555.00,13981.00,11980.00,14485.00,21568.00,11553.00,13800.00,6000.00,3800.00,15600.00, $-   , $-   
220,A001-625,General,,8093.00,8256.00,8532.00,8618.00,8735.00,8643.00,8364.00,13008.00,11808.00,10854.00,9684.00,4680.00,750.00,590.00,360.00,35.00,15.00,6610.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
221,A001-626,General,,60528.00,62775.00,38607.00,24150.00,16945.00,19715.00,25170.00,15106.00,590.00,3370.00, $-   ,1930.00,295.00,2347.00,960.00,1150.00,1900.00,1450.00,1739.00,1467.00,60.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
222,A001-627,General,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,58500.00,81000.00,5400.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
223,A001-628,General,Civil Marriage Ceremonies,15771.00,15226.00,15512.00,28367.00,18284.00,21043.00,20164.00,23620.00,21350.00,19350.00,21460.00,22720.00,20840.00,17260.00,20810.00,18370.00,25090.00,18610.00,17800.00,20020.00,18390.00,18010.00,18950.00,19070.00,18200.00,17810.00,18920.00,16830.00,18270.00,14680.00,15210.00,14580.00,14910.00,14400.00,12380.00,11330.00,13760.00,11000.00,12844.00,12690.00
224,A001-629,General,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
225,A001-630,General,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,3969.00,4489.00,3377.00,4871.00,4137.00,4764.00,4695.00,4784.00,6302.00,8161.00,10169.00,7949.00,7053.00,4872.00,4983.00,2313.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
226,A001-632,General,Lien Reports,274299.00,323633.00,307355.00,297830.00,244140.00,433237.00,554765.00,559465.00,588851.00,685958.00,550885.00,549205.00,579883.00,614818.00,609673.00,623819.00,686885.00,623987.00,670203.00,738234.00,910702.00,1073716.00,1128832.00,1676663.00,1678863.00,1709143.00,1951805.00,2258525.00,2444670.00,2013630.00,1488022.00,1073180.00,1176780.00,1124741.00,968230.00,1213334.00,1582210.00,1924593.00,2013105.00,1979130.00
227,A001-633,General,Election Filing Fees,5253.00,28505.00,19856.00,3788.00,4775.00,26475.00,15954.00,6921.00,14863.00,25404.00,15229.00,4450.00,7946.00,22626.00,12880.00,5260.00,9911.00,15472.00,24052.00,3671.00,4471.00,22494.00,13802.00,4374.00,4044.00,18453.00,8505.00,7416.00,5138.00,10464.00,4559.00,462.00,2840.00,14102.00,4993.00,5147.00,1913.00,7673.00,2081.00,2273.00
228,A001-634,General,Surveys Sales of Maps and Records,2538.00,1919.00,4810.00,4481.00,1486.00,2459.00,2579.00,5565.00,6249.00,5461.00,5322.00,15609.00,14278.00,5844.00,13695.00,3158.00,2453.00,2589.00,3310.00,3538.00,4148.00,4011.00,3179.00,3770.00,11256.00,69607.00,81434.00,119789.00,141280.00,123164.00,90594.00,65127.00,44156.00,28014.00,34776.00,25273.00,23788.00,22867.00,21717.00,15947.00
229,A001-635,General,Telephone Commissions,16549.00,18816.00,19704.00,21685.00,10669.00,8491.00,10253.00,14782.00,24251.00,24066.00,35339.00,92035.00,174389.00,191344.00,105973.00,116328.00,120317.00,116246.00,113635.00,122411.00,109930.00,114572.00,111807.00,63262.00,62043.00,75248.00,44353.00,7602.00,4246.00,7063.00,1567.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
230,A001-636,General,3rd Party Disability Recoveries,80696.00,59972.00,100665.00,139490.00,152352.00,118140.00,164764.00,206830.00,196390.00,237197.00,355879.00,215620.00,341583.00,413927.00,540607.00,743263.00,621194.00,787006.00,887747.00,494006.00,483650.00,528210.00,535119.00,384479.00,636327.00,285684.00,163927.00,140356.00,59079.00,70694.00,32720.00,36102.00,74436.00,61471.00,34781.00,55508.00,54413.00,35753.00,33680.00,49456.00
231,A001-637,General,Open Enrollment Expense Reimbursement, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,109318.00,31847.00, $-   ,142284.00, $-   ,94326.00,103850.00,176924.00, $-   ,264000.00, $-   ,294124.00,244300.00,-73531.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
232,A001-638,General,Semi - Annual Tax Payment Fee, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,104.00,1508.00,80602.00,97230.00,120138.00,307321.00,974930.00,980934.00,657221.00,354473.00,240794.00,494391.00,802838.00,1069997.00,496860.00,298929.00,201514.00,221394.00,203888.00,140061.00,122275.00,114254.00,115644.00
233,A001-639,General,Tax Roll Service Charge,370.00,655.00,491.00,565.00,580.00,476.00,1275.00,2018.00,2136.00,2180.00,2544.00,4313.00,3236.00,2693.00,2198.00,2726.00,3753.00,4585.00,4285.00,8022.00,7681.00,9390.00,17914.00,17106.00,20392.00,26751.00,32824.00,20542.00,14757.00,17127.00,9472.00,11148.00,10392.00,8711.00,8601.00,41821.00,19896.00,22896.00,26154.00,36996.00
234,A001-640,General,Audit Fees - Comptroller's Office, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,1012196.00,698096.00,869584.00,584491.00,532531.00,574581.00,667854.00,617661.00,613906.00,562417.00,480794.00,553537.00,575819.00,509538.00,609298.00,492731.00,310171.00,665000.00,406000.00,320000.00
235,A001-643,General,Reimbursable Billing Costs,183582.00,223336.00,238248.00,164917.00,2215.00,20424.00,6697.00,7179.00,8269.00,5203.00,11685.00,15025.00,15553.00,18193.00,15183.00,19186.00,39603.00,18330.00,19462.00,17191.00,48299.00,15192.00,8047.00,9649.00,4342.00,3418.00,3584.00,1592.00,394.00,557.00,1400.00,385.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
236,A001-648,General,Sub-division Plat Charges,4950.00,6600.00,7975.00,12375.00,10175.00,9350.00,11000.00,19250.00,17875.00,13200.00,12925.00,16026.00,21920.00,25493.00,20556.00,16187.00,17592.00,14708.00,15776.00,13075.00,16375.00,16023.00,19566.00,7466.00,23644.00,21731.00,13367.00,20620.00,16500.00, $-   ,7550.00,13160.00,20866.00,10745.00,7187.00,19581.00,12092.00,15945.00,18225.00,12800.00
237,A001-649,General,Vending Machine Commissions,223023.00,245227.00,290192.00,317473.00,304704.00,281174.00,289691.00,321736.00,319811.00,357356.00,317254.00,343320.00,303975.00,383379.00,402312.00,408848.00,393764.00,425153.00,364888.00,305586.00,256592.00,192696.00,74374.00,171733.00,87628.00,135689.00,124687.00,43720.00,28853.00,70940.00,71531.00,78802.00,73688.00,50249.00,37330.00,42975.00,32004.00,27676.00,42265.00,35782.00
238,A001-651,General,Reimbursement for Use of City Vehicles,49235.00,44513.00,42358.00,44671.00,44313.00,43511.00,49396.00,50580.00,46596.00,47114.00,49054.00,71498.00,71827.00,65582.00,74815.00,36551.00,46796.00,45760.00,46768.00,38389.00,49480.00,51616.00,62036.00,33895.00,17503.00,18839.00,18775.00,21801.00,26806.00,24663.00,23430.00,27942.00,3646.00,19522.00,18004.00,14805.00,16250.00,19341.00,14951.00,15046.00
239,A001-654,General,Charges for Central City Services, $-   , $-   ,1869579.00,2190086.00,2712510.00,2757402.00,2923660.00,3294452.00,3932480.00,3778551.00,3887844.00,4528158.00,5490083.00,4885477.00,4952336.00,5072604.00,5550785.00,5753535.00,6811599.00,6882138.00,7568077.00,7433812.00,7920524.00,7741578.00,8153656.00,8963437.00,9428230.00,9107774.00,10104555.00,10174498.00,10446330.00,11275222.00,10413899.00,9960044.00,10383133.00,11579271.00,11100355.00,12259282.00,12598526.00,13726059.00
240,A001-655,General,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
241,A001-656,General,Animal Shelter Sales and Charges,13050.00,11057.00,12742.00,15458.00,16070.00,13189.00,19952.00,23189.00,26602.00,22728.00,26230.00,29020.00,24881.00,21144.00,26896.00,30135.00,25081.00,40551.00,45168.00,47278.00,48639.00,58437.00,56090.00,76070.00,70302.00,58878.00,50915.00,63730.00,50222.00,31040.00,39851.00,21962.00,1397.00,206.00,54.00, $-   , $-   , $-   , $-   , $-   
242,A001-657,General,Liquor Board Advertising Fees,12325.00,21200.00,30200.00,27600.00,18800.00,25310.00,29085.00,31515.00,36548.00,30600.00,30800.00,30342.00,57230.00,53350.00,57555.00,59677.00,54648.00,58815.00,63243.00,49953.00,65080.00,73367.00,85002.00,87419.00,72030.00,65145.00,73614.00,91103.00,93971.00,93637.00,84137.00,85521.00,89745.00,93763.00,95241.00,70803.00,83284.00,74124.00,87611.00,116175.00
243,A001-658,General,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,34300.00, $-   ,16000.00, $-   ,2100.00, $-   , $-   , $-   , $-   ,64396.00, $-   ,45423.00,108414.00, $-   , $-   ,206723.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
244,A001-659,General,Sale of Accident and Incident Reports,115425.00,120225.00,123774.00,125673.00,281714.00,247963.00,245695.00,323617.00,332115.00,282338.00,279476.00,279290.00,548741.00,540080.00,528554.00,479956.00,471958.00,488236.00,449779.00,428670.00,411403.00,391506.00,366605.00,401275.00,385796.00,322549.00,301591.00,273707.00,276179.00,279922.00,262283.00,285583.00,283449.00,288619.00,299042.00,256269.00,350481.00,300434.00,386211.00,368496.00
245,A001-660,General,Stadium Security Service Charges, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,55039.00,602778.00,723708.00,369561.00,617925.00,1023005.00,1019890.00,1155576.00,1454178.00,1096750.00,1230680.00,1211940.00,1309208.00,907989.00,910136.00,1236979.00,924755.00,519277.00,1408220.00,1208013.00,1540689.00,1789363.00,1658607.00,1743859.00,1843483.00,1873457.00
246,A001-661,General,Port Fire Protection (MPA), $-   , $-   , $-   ,2500000.00,1780000.00,1780000.00,1779995.00,1780000.00,1780000.00,1780000.00,1780000.00,1780000.00,1780000.00,1780000.00,1335000.00,1335000.00,1399940.00,1399940.00,1399940.00,1399940.00,1464263.00,1400557.00,1400000.00,1399880.00,1399940.00,1399940.00,1399940.00,1399940.00,1231947.00,1567933.00,1399940.00,1399940.00,1399940.00,1399940.00,1399940.00,1399940.00,1399940.00,1399940.00,1399940.00,1400000.00
247,A001-662,General,Sheriff - District Court Service, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,1829224.00,3733523.00,3364645.00,2973428.00,2778208.00,2614938.00,2786289.00,2631482.00,2631650.00,2764967.00,3123708.00,3250077.00,3103743.00,3473109.00,3444458.00,3439475.00,5163150.00,5492025.00,4997203.00,5377712.00
248,A001-663,General,False Alarm Fees, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,279300.00,1310928.00,1304684.00,893759.00,965635.00,925042.00,453891.00,375836.00,373513.00,284386.00,405607.00,432109.00,229607.00,193385.00
249,A001-664,General,Fire Dept - Sales of Reports, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,6672.00,10644.00,11432.00,10115.00,12586.00,15502.00,16905.00,17304.00,17459.00,21068.00,23991.00,19585.00,24192.00,21311.00,20237.00,20096.00,27099.00,21860.00,19050.00,17400.00,28023.00,29415.00
250,A001-665,General,Fire Ambulance Stadium Services, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,43600.00,41200.00,34800.00,35600.00,26760.00,44330.00,2790.00,28000.00, $-   , $-   
,A001-666,,Child Support Enforcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $-   , $-   
251,A001-667,General,Fire Department Employment Application Fee, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,5140.00, $-   , $-   , $-   , $-   , $-   , $-   
,A001-668,,Deputy Sheriff Enforcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $-   ,48103.00
,A001-669,,Federal Marshall Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $-   ,61333.00
252,A001-670,General,,2726682.00,938816.00,624184.00,429068.00,550900.00,457636.00,729428.00,1051221.00,1508150.00,1351929.00,1232648.00,1339348.00,1185102.00,1316475.00,187425.00,116847.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
253,A001-671,General,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,51156.00,829684.00,239547.00,426885.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
254,A001-680,General,Miscellaneous Environmental Fees, $-   , $-   , $-   , $-   , $-   , $-   ,1542.00,1812.00,1700.00,1759.00,2279.00,2437.00,2860.00,1319.00,11030.00,27595.00,39240.00,24710.00,71190.00,33278.00,48285.00,18879.00,15790.00,22320.00,21675.00,12770.00,14240.00,13660.00,15090.00,22190.00,16200.00,19100.00,16410.00,13500.00,13765.00,16825.00,14840.00,9605.00,6145.00,27510.00
255,A001-681,General,"Air Quality Fees (1989, Ordinance #323)", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,87500.00, $-   , $-   ,45000.00,145000.00,110000.00,50000.00,50000.00,50000.00,50000.00,50000.00, $-   ,50000.00, $-   , $-   , $-   , $-   , $-   , $-   ,-18454.00, $-   
256,A001-684,General,,66683.00,34602.00,27992.00,67684.00,57274.00,64351.00,57690.00,24603.00,17032.00,16545.00,15705.00,11340.00,10423.00,16649.00,14796.00,15955.00,24893.00,13761.00,4626.00,1315.00,2437.00,24935.00,38908.00,18127.00,3061.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
257,A001-689,General,,44204.00,20538.00,44055.00,32897.00,138106.00,39893.00,149941.00,91037.00,80976.00,48324.00,96720.00,65375.00,56711.00,86737.00,165539.00,165410.00,58891.00,119131.00,88823.00, $-   ,53219.00,124689.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
