"Q1","Q2","Q3","Q4","Q5AF1","Q5BF1","Q5CF1","Q5DF1","Q5AF2","Q5BF2","Q5CF2","Q5DF2","Q6A","Q6B","RELIG","BORN","QNO","CASEID","SEX","HEADHH","EMPLOY","PARTY","PARTYLN","PARTYFUL","OCCUP","MARITAL","OWN","HHNUM","CHILD1","CHILD2","CHILD3","EDUC","AGE","HISP","RACE1","RACE2","RACE3","RACE4","INC1","INC2","INC3","WEIGHT","TIMEZONE","STATE","METRO","DIVISION","REGION","INTDATE"
"Strongly favor ",NA,"Favor ","Heard of it, but not sure what it means ","Completely agree ","Completely agree ","Completely agree ","Completely disagree ",NA,NA,NA,NA,"No ","No ","Nothing in particular ",NA,328015071,15071,"Male ","Yes ","Employed full time ","Democrat ",NA,"Democrat ","Blue collar -- craftsmen/Foremen ","Married ","Rent ","Four ","Yes ","No ","No ","High school complete (grade 12) ","25-29 ","Yes ","Some other race ",NA,NA,NA,"$50,000 or more ",NA,"$50,000 but less than $60,000 ",4.1132,"Pacific","ARIZONA","In Center City of Metropolitan Area ","Mountain","West ",81411
"Strongly favor ",NA,"Favor ","Know what term means ","Completely agree ","Completely agree ","Completely agree ","Completely agree ",NA,NA,NA,NA,"Yes ","Yes ","Nothing in particular ",NA,328015076,15076,"Female ","Yes ","Retired ","Democrat ",NA,"Democrat ",NA,"Married ","Own ","Two ","No ","No ","No ","College graduate/Bachelors degree ","55-59 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$125,000 or more ",0.2931,"Mountain","UTAH","In Center City of Metropolitan Area ","Mountain","West ",81411
"Don't know/Refused ","Don't know/Refused ","Favor ","Know what term means ","Completely agree ","Completely agree ","Mostly agree ","Mostly agree ",NA,NA,NA,NA,"No ","No ","Protestant ","Yes ",328015119,15119,"Female ","Yes ","Retired ","Republican ",NA,"Republican ",NA,"Married ","Own ","Two ","No ","No ","No ","Associates degree ","55-59 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$125,000 or more ",0.6122,"Mountain","WYOMING","In Non-Metropolitan Area ","Mountain","West ",81411
"Strongly oppose ","Completely disagree ","Oppose ","Know what term means ","Completely agree ","Don't know/Refused ","Mostly agree ","Completely agree ",NA,NA,NA,NA,"Yes ","No ","Protestant ","Yes ",328015133,15133,"Female ","Yes ","Retired ","Republican ",NA,"Republican ",NA,"Widowed ","Own ","One ",NA,NA,NA,"High school complete (grade 12) ","75 or older ","No ","White/Caucasian ",NA,NA,NA,"Less than $50,000 ","Under $25,000 ",NA,0.8167,"Eastern","PENNSYLVANIA","Inside Suburban County of Metropolitan Area ","Middle Atlantic","North East ",81411
"Favor ",NA,"Favor ","Heard of it, but not sure what it means ","Completely agree ","Completely agree ","Mostly agree ","Mostly disagree ",NA,NA,NA,NA,"Yes ","No ","Nothing in particular ",NA,328015148,15148,"Male ","Yes ","Retired ","Independent ","Democratic ","Independent-lean Democratic ",NA,"Married ","Own ","Two ","No ","No ","No ","High school incomplete (grades 9, 10, 11) ","70-74 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$50,000 but less than $60,000 ",0.9866,"Central","MISSOURI","Outside Center City, Inside Center City County ","West North Central","Midwest ",81411
"Strongly favor ",NA,"Favor ","Know what term means ","Completely agree ","Completely agree ","Completely agree ","Completely agree ",NA,NA,NA,NA,"Yes ","Yes ","Jewish ",NA,328015168,15168,"Female ","Yes ","Employed full time ","Democrat ",NA,"Democrat ","White collar -- sales, clerical ","Married ","Own ","Three ","No ","Yes ","No ","College graduate/Bachelors degree ","40-44 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$60,000 but less than $75,000 ",2.0456,"Pacific","CALIFORNIA","Inside Suburban County of Metropolitan Area ","Pacific","West ",81411
"Oppose ","Completely disagree ","Favor ","Heard of it, but not sure what it means ","Mostly agree ","Mostly agree ","Completely agree ","Don't know/Refused ",NA,NA,NA,NA,"No ","No ","Protestant ","Refused ",328015176,15176,"Female ","Yes ","Employed full time ","Republican ",NA,"Republican ","White collar -- professional, managerial, owner ","Married ","Own ","Four ","No ","No ","Yes ","Some college, but no degree ","40-44 ","No ","White/Caucasian ",NA,NA,NA,"Less than $50,000 ","$40,000 but less than $50,000 ",NA,1.7058,"Mountain","NEBRASKA","In Non-Metropolitan Area ","West North Central","Midwest ",81411
"Strongly oppose ","Completely disagree ","Oppose ","Never heard of term ","Mostly agree ","Completely agree ","Completely disagree ","Mostly disagree ",NA,NA,NA,NA,"No ","No ","Refused ",NA,328015199,15199,"Female ","Refused/Nr ","Refused/Nr ","Don't know/Refused ","Don't know/Refused ","Don't know/Refused ",NA,"Refused/Nr ","Refused/Nr ","Refused/Nr ",NA,NA,NA,"Refused/Nr ","Refused/Nr ","Refused/Nr ","Refused/Nr ",NA,NA,NA,"Don't know/refused/Nr ",NA,NA,0.2621,"Eastern","FLORIDA","In Center City of Metropolitan Area ","South Atlantic","South ",81411
"Favor ",NA,"Favor ","Know what term means ","Completely agree ","Mostly agree ","Mostly agree ","Mostly agree ",NA,NA,NA,NA,"Yes ","No ","Refused ",NA,328015210,15210,"Male ","Yes ","Employed full time ","Democrat ",NA,"Democrat ","White collar -- professional, managerial, owner ","Married ","Own ","Two ","No ","No ","No ","Postgraduate Degree, such as Master's, PH.D., MD, JD ","45-49 ","No ","White/Caucasian ",NA,NA,NA,"Don't know/refused/Nr ",NA,NA,0.3902,"Eastern","DISTRICT OF COLUMBIA","In Center City of Metropolitan Area ","South Atlantic","South ",81411
"Oppose ","Completely disagree ","Favor ","Know what term means ","Completely agree ","Mostly agree ","Mostly agree ","Completely agree ",NA,NA,NA,NA,"No ","No ","Protestant ","Yes ",328015257,15257,"Female ","Yes ","Retired ","Democrat ",NA,"Democrat ",NA,"Widowed ","Own ","One ",NA,NA,NA,"Some college, but no degree ","60-64 ","No ","Black/African-american ",NA,NA,NA,"$50,000 or more ",NA,"$75,000 but less than $100,000 ",0.4442,"Central","TEXAS","In Center City of Metropolitan Area ","West South Central","South ",81411
"Strongly oppose ","Completely disagree ","Oppose ","Heard of it, but not sure what it means ","Mostly disagree ","Mostly agree ","Mostly disagree ","Completely disagree ",NA,NA,NA,NA,"No ","No ","Catholic ",NA,328015264,15264,"Male ","Yes ","Retired ","Republican ",NA,"Republican ",NA,"Married ","Own ","Two ","No ","No ","No ","Some college, but no degree ","75 or older ","No ","White/Caucasian ",NA,NA,NA,"Less than $50,000 ","$25,000 but less than $30,000 ",NA,0.6037,"Eastern","FLORIDA","Outside Center City, Inside Center City County ","South Atlantic","South ",81411
"Oppose ","Completely disagree ","Don't know/Refused ","Never heard of term ","Don't know/Refused ","Completely disagree ","Don't know/Refused ","Don't know/Refused ",NA,NA,NA,NA,"No ","No ","Protestant ","Yes ",328015275,15275,"Female ","Yes ","Retired ","Democrat ",NA,"Democrat ",NA,"Widowed ","Own ","One ",NA,NA,NA,"High school incomplete (grades 9, 10, 11) ","75 or older ","No ","White/Caucasian ",NA,NA,NA,"Less than $50,000 ","Under $25,000 ",NA,0.8946,"Eastern","INDIANA","In Non-Metropolitan Area ","East North Central","Midwest ",81411
"Strongly favor ",NA,"Favor ","Know what term means ","Completely agree ","Completely agree ","Completely agree ","Completely agree ",NA,NA,NA,NA,"No ","No ","Nothing in particular ",NA,328015285,15285,"Female ","Yes ","Retired ","Independent ","Democratic ","Independent-lean Democratic ",NA,"Married ","Own ","Two ","No ","No ","No ","College graduate/Bachelors degree ","65-69 ","No ","White/Caucasian ",NA,NA,NA,"Less than $50,000 ","$35,000 but less than $40,000 ",NA,0.3994,"Eastern","INDIANA","In Center City of Metropolitan Area ","East North Central","Midwest ",81411
"Strongly oppose ","Completely disagree ","Favor ","Know what term means ","Mostly agree ","Mostly agree ","Completely agree ","Mostly agree ",NA,NA,NA,NA,"Yes ","Yes ","Muslim ",NA,328015294,15294,"Female ","Yes ","Employed full time ","Democrat ",NA,"Democrat ","White collar -- professional, managerial, owner ","Widowed ","Own ","Two ","No ","Yes ","No ","High school complete (grade 12) ","35-39 ","No ","Black/African-american ",NA,NA,NA,"$50,000 or more ",NA,"$50,000 but less than $60,000 ",2.3125,"Eastern","PENNSYLVANIA","In Center City of Metropolitan Area ","Middle Atlantic","North East ",81411
"Strongly oppose ","Completely disagree ","Favor ","Know what term means ","Completely agree ","Mostly disagree ","Mostly agree ","Mostly agree ",NA,NA,NA,NA,"No ","No ","Protestant ","Yes ",328015313,15313,"Male ","Yes ","Employed full time ","Independent ","Republican ","Independent-lean Republican ","White collar -- sales, clerical ","Married ","Own ","Six ","No ","Yes ","Yes ","College graduate/Bachelors degree ","40-44 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$60,000 but less than $75,000 ",0.8802,"Central","MISSOURI","In Non-Metropolitan Area ","West North Central","Midwest ",81411
"Strongly favor ",NA,"Favor ","Know what term means ","Completely agree ","Completely agree ","Completely agree ","Completely agree ",NA,NA,NA,NA,"Yes ","No ","Nothing in particular ",NA,328015338,15338,"Male ","No ","Student ","Independent ","Republican ","Independent-lean Republican ",NA,"Single and never been married ","Own ","Four ","No ","Yes ","No ","High school complete (grade 12) ","18-20 ","Yes ","Some other race ",NA,NA,NA,"Less than $50,000 ","Refused [unspecified after less than $50,000] ",NA,2.9537,"Pacific","CALIFORNIA","Outside Center City, Inside Center City County ","Pacific","West ",81411
"Strongly oppose ","Completely agree ","Oppose ","Know what term means ","Completely agree ","Completely disagree ","Completely agree ","Mostly agree ",NA,NA,NA,NA,"Yes ","No ","Christian or 'Just Christian' ","Yes ",328015341,15341,"Male ","Yes ","Retired ","Independent ","Republican ","Independent-lean Republican ",NA,"Divorced ","Own ","One ",NA,NA,NA,"High school complete (grade 12) ","65-69 ","No ","Some other race ",NA,NA,NA,"Less than $50,000 ","Under $25,000 ",NA,0.6098,"Pacific","CALIFORNIA","In Center City of Metropolitan Area ","Pacific","West ",81411
"Strongly favor ",NA,"Favor ","Know what term means ","Completely agree ","Mostly agree ","Don't know/Refused ","Mostly disagree ",NA,NA,NA,NA,"Yes ","No ","Nothing in particular ",NA,328015346,15346,"Male ","Yes ","Employed full time ","Democrat ",NA,"Democrat ","White collar -- sales, clerical ","Married ","Rent ","Three ","Yes ","No ","No ","College graduate/Bachelors degree ","30-34 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$100,000 but less than $125,000 ",1.4545,"Pacific","CALIFORNIA","In Center City of Metropolitan Area ","Pacific","West ",81411
"Strongly favor ",NA,"Favor ","Know what term means ","Mostly agree ","Mostly agree ","Completely agree ","Mostly disagree ",NA,NA,NA,NA,"No ","No ","Muslim ",NA,328015415,15415,"Male ","No ","Not currently employed ","Independent ","Democratic ","Independent-lean Democratic ",NA,"Single and never been married ","Own ","Three ","No ","No ","No ","High school complete (grade 12) ","18-20 ","No ","White/Caucasian ",NA,NA,NA,"Less than $50,000 ","$30,000 but less than $35,000 ",NA,0.9087,"Eastern","NEW YORK","In Center City of Metropolitan Area ","Middle Atlantic","North East ",81411
"Strongly favor ",NA,"Favor ","Know what term means ","Completely agree ","Completely agree ","Completely agree ","Completely agree ",NA,NA,NA,NA,"No ","No ","Nothing in particular ",NA,328015428,15428,"Female ","Yes ","Self employed ","Democrat ",NA,"Democrat ","White collar -- professional, managerial, owner ","Married ","Rent ","Three ","No ","Yes ","No ","Postgraduate Degree, such as Master's, PH.D., MD, JD ","40-44 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$75,000 but less than $100,000 ",1.0228,"Pacific","CALIFORNIA","Outside Center City, Inside Center City County ","Pacific","West ",81411
"Don't know/Refused ","Mostly agree ","Favor ","Know what term means ","Mostly agree ","Completely agree ","Completely agree ","Completely agree ",NA,NA,NA,NA,"No ","No ","Catholic ",NA,328015442,15442,"Male ","Yes ","Self employed ","Independent ","Neither/Other ","Independent ","White collar -- professional, managerial, owner ","Married ","Own ","Two ","No ","No ","No ","College graduate/Bachelors degree ","55-59 ","No ","Some other race ",NA,NA,NA,"$50,000 or more ",NA,"$60,000 but less than $75,000 ",0.4736,"Eastern","GEORGIA","Inside Suburban County of Metropolitan Area ","South Atlantic","South ",81411
"Strongly favor ",NA,"Favor ","Know what term means ","Completely agree ","Completely agree ","Completely agree ","Completely agree ",NA,NA,NA,NA,"No ","No ","Something else ","No ",328015466,15466,"Male ","Yes ","Retired ","Independent ","Democratic ","Independent-lean Democratic ",NA,"Married ","Own ","Two ","No ","No ","No ","Postgraduate Degree, such as Master's, PH.D., MD, JD ","65-69 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$100,000 but less than $125,000 ",0.2758,"Pacific","CALIFORNIA","In Center City of Metropolitan Area ","Pacific","West ",81411
"Strongly favor ",NA,"Favor ","Heard of it, but not sure what it means ","Completely agree ","Completely agree ","Completely agree ","Mostly agree ",NA,NA,NA,NA,"No ","No ","Nothing in particular ",NA,328015476,15476,"Male ","Yes ","Self employed ","Democrat ",NA,"Democrat ","White collar -- professional, managerial, owner ","Married ","Own ","Two ","No ","No ","No ","College graduate/Bachelors degree ","75 or older ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$75,000 but less than $100,000 ",0.5569,"Eastern","NEW JERSEY","In Metropolitan Area with No Center City ","Middle Atlantic","North East ",81411
"Strongly favor ",NA,"Favor ","Know what term means ","Completely agree ","Completely agree ","Completely agree ","Mostly disagree ",NA,NA,NA,NA,"No ","No ","Jewish ",NA,328015505,15505,"Male ","Yes ","Self employed ","Democrat ",NA,"Democrat ","White collar -- professional, managerial, owner ","Married ","Own ","Two ","No ","No ","No ","Postgraduate Degree, such as Master's, PH.D., MD, JD ","65-69 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$125,000 or more ",0.5569,"Eastern","MAINE","In Non-Metropolitan Area ","New England","North East ",81411
"Strongly favor ",NA,"Favor ","Never heard of term ","Mostly agree ","Completely disagree ","Mostly disagree ","Mostly disagree ",NA,NA,NA,NA,"No ","No ","Catholic ",NA,328015509,15509,"Male ","No ","Homemaker ","Don't know/Refused ","Don't know/Refused ","Don't know/Refused ",NA,"Single and never been married ","Own ","Three ","No ","No ","No ","8th grade or less ","50-54 ","No ","White/Caucasian ",NA,NA,NA,"Don't know/refused/Nr ",NA,NA,0.874,"Central","TEXAS","In Center City of Metropolitan Area ","West South Central","South ",81411
"Strongly oppose ","Completely disagree ","Favor ","Know what term means ","Completely agree ","Don't know/Refused ","Completely agree ","Mostly agree ",NA,NA,NA,NA,"Yes ","No ","Protestant ","Yes ",328015563,15563,"Female ","Yes ","Not currently employed ","Republican ",NA,"Republican ",NA,"Divorced ","Own ","Five ","Yes ","No ","No ","High school incomplete (grades 9, 10, 11) ","40-44 ","No ","White/Caucasian ",NA,NA,NA,"Less than $50,000 ","Under $25,000 ",NA,2.2908,"Pacific","CALIFORNIA","Outside Center City, Inside Center City County ","Pacific","West ",81411
"Favor ",NA,"Favor ","Know what term means ","Mostly agree ","Completely agree ","Mostly agree ","Completely agree ",NA,NA,NA,NA,"No ","No ","Nothing in particular ",NA,328015573,15573,"Female ","Yes ","Self employed ","Independent ","Neither/Other ","Independent ","White collar -- professional, managerial, owner ","Widowed ","Own ","Two ","No ","No ","No ","College graduate/Bachelors degree ","Refused/Nr ","No ","White/Caucasian ",NA,NA,NA,"Don't know/refused/Nr ",NA,NA,0.5049,"Eastern","RHODE ISLAND","Outside Center City, Inside Center City County ","New England","North East ",81411
"Don't know/Refused ","Don't know/Refused ","Favor ","Know what term means ","Completely agree ","Completely agree ","Completely agree ","Completely agree ",NA,NA,NA,NA,"No ","No ","Protestant ","No ",328015591,15591,"Male ","Yes ","Retired ","Independent ","Neither/Other ","Independent ",NA,"Divorced ","Own ","One ",NA,NA,NA,"High school incomplete (grades 9, 10, 11) ","45-49 ","No ","White/Caucasian ",NA,NA,NA,"Less than $50,000 ","$25,000 but less than $30,000 ",NA,0.874,"Eastern","SOUTH CAROLINA","In Non-Metropolitan Area ","South Atlantic","South ",81411
"Don't know/Refused ","Don't know/Refused ","Don't know/Refused ","Heard of it, but not sure what it means ","Mostly agree ","Don't know/Refused ","Mostly agree ","Mostly disagree ",NA,NA,NA,NA,"No ","No ","Protestant ","Refused ",328015611,15611,"Female ","Refused/Nr ","Retired ","Republican ",NA,"Republican ",NA,"Married ","Own ","Two ","No ","No ","No ","Refused/Nr ","75 or older ","No ","White/Caucasian ",NA,NA,NA,"Less than $50,000 ","$25,000 but less than $30,000 ",NA,0.5049,"Eastern","PENNSYLVANIA","In Center City of Metropolitan Area ","Middle Atlantic","North East ",81411
"Favor ",NA,"Oppose ","Never heard of term ",NA,NA,NA,NA,"Don't know/Refused ","Mostly agree ","Mostly agree ","Completely disagree ","Yes ","Don't know/Refused ","Jewish ",NA,328015627,15627,"Female ","Yes ","Retired ","Don't know/Refused ","Don't know/Refused ","Don't know/Refused ",NA,"Married ","Own ","Two ","No ","No ","No ","College graduate/Bachelors degree ","75 or older ","No ","White/Caucasian ",NA,NA,NA,"Less than $50,000 ","$40,000 but less than $50,000 ",NA,0.2525,"Eastern","CONNECTICUT","In Center City of Metropolitan Area ","New England","North East ",81411
"Favor ",NA,"Favor ","Know what term means ",NA,NA,NA,NA,"Completely agree ","Completely agree ","Mostly agree ","Completely agree ","Yes ","No ","Nothing in particular ",NA,328015630,15630,"Female ","Yes ","Employed full time ","Democrat ",NA,"Democrat ","White collar -- professional, managerial, owner ","Married ","Own ","Three ","No ","No ","No ","College graduate/Bachelors degree ","50-54 ","Yes ","Some other race ",NA,NA,NA,"$50,000 or more ",NA,"$100,000 but less than $125,000 ",1.6372,"Eastern","NEW YORK","In Center City of Metropolitan Area ","Middle Atlantic","North East ",81411
"Oppose ","Mostly agree ","Favor ","Know what term means ",NA,NA,NA,NA,"Mostly agree ","Mostly agree ","Mostly agree ","Mostly agree ","No ","No ","Protestant ","No ",328015638,15638,"Female ","Yes ","Self employed ","Republican ",NA,"Republican ","Blue collar -- craftsmen/Foremen ","Married ","Own ","Three ","Yes ","No ","No ","Some college, but no degree ","55-59 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$125,000 or more ",0.3061,"Pacific","CALIFORNIA","In Center City of Metropolitan Area ","Pacific","West ",81411
"Strongly oppose ","Completely disagree ","Oppose ","Know what term means ",NA,NA,NA,NA,"Completely disagree ","Completely disagree ","Completely disagree ","Completely agree ","No ","No ","Protestant ","Yes ",328015648,15648,"Male ","Yes ","Employed full time ","Other party ","Neither/Other ","Other party ","Service worker ","Single and never been married ","Own ","One ",NA,NA,NA,"High school complete (grade 12) ","50-54 ","No ","White/Caucasian ",NA,NA,NA,"Less than $50,000 ","$40,000 but less than $50,000 ",NA,1.2158,"Eastern","PENNSYLVANIA","In Non-Metropolitan Area ","Middle Atlantic","North East ",81411
"Favor ",NA,"Favor ","Know what term means ",NA,NA,NA,NA,"Completely agree ","Completely agree ","Completely agree ","Mostly agree ","No ","No ","Nothing in particular ",NA,328015657,15657,"Male ","Yes ","Self employed ","Republican ",NA,"Republican ","White collar -- professional, managerial, owner ","Married ","Own ","Five ","Yes ","Yes ","No ","College graduate/Bachelors degree ","35-39 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$75,000 but less than $100,000 ",1.1126,"Eastern","MASSACHUSETTS","Inside Suburban County of Metropolitan Area ","New England","North East ",81411
"Strongly favor ",NA,"Oppose ","Heard of it, but not sure what it means ",NA,NA,NA,NA,"Completely agree ","Completely disagree ","Mostly disagree ","Completely agree ","Yes ","No ","Protestant ","Yes ",328015664,15664,"Male ","Yes ","Retired ","Democrat ",NA,"Democrat ",NA,"Married ","Own ","Three ","No ","No ","No ","High school incomplete (grades 9, 10, 11) ","75 or older ","No ","Black/African-american ",NA,NA,NA,"Less than $50,000 ","Under $25,000 ",NA,0.8965,"Eastern","MARYLAND","In Center City of Metropolitan Area ","South Atlantic","South ",81411
"Favor ",NA,"Oppose ","Know what term means ",NA,NA,NA,NA,"Completely agree ","Completely agree ","Completely disagree ","Mostly agree ","Yes ","Yes ","Refused ",NA,328015706,15706,"Male ","No ","Retired ","Independent ","Don't know/Refused ","Independent ",NA,"Refused/Nr ","Refused/Nr ","Refused/Nr ",NA,NA,NA,"Refused/Nr ","Refused/Nr ","Refused/Nr ","Refused/Nr ",NA,NA,NA,"Don't know/refused/Nr ",NA,NA,0.6037,"Eastern","SOUTH CAROLINA","In Non-Metropolitan Area ","South Atlantic","South ",81411
"Strongly oppose ","Completely disagree ","Oppose ","Know what term means ",NA,NA,NA,NA,"Completely agree ","Completely disagree ","Completely disagree ","Mostly agree ","Yes ","No ","Protestant ","No ",328015735,15735,"Male ","Yes ","Retired ","Republican ",NA,"Republican ",NA,"Married ","Own ","Two ","No ","No ","No ","College graduate/Bachelors degree ","60-64 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$100,000 but less than $125,000 ",0.528,"Eastern","OHIO","Inside Suburban County of Metropolitan Area ","East North Central","Midwest ",81411
"Strongly favor ",NA,"Favor ","Know what term means ",NA,NA,NA,NA,"Completely agree ","Completely agree ","Completely agree ","Completely agree ","Yes ","No ","Nothing in particular ",NA,328015742,15742,"Female ","Yes ","Employed full time ","Don't know/Refused ","Democratic ","Independent-lean Democratic ","Blue collar -- semiskilled, unskilled ","Single and never been married ","Own ","Three ","Yes ","No ","No ","High school complete (grade 12) ","21-24 ","No ","White/Caucasian ",NA,NA,NA,"Less than $50,000 ","$30,000 but less than $35,000 ",NA,3.0887,"Central","TENNESSEE","In Center City of Metropolitan Area ","East South Central","South ",81411
"Strongly favor ",NA,"Favor ","Know what term means ",NA,NA,NA,NA,"Completely agree ","Completely agree ","Completely agree ","Completely agree ","No ","Yes ","Buddhist ",NA,328015750,15750,"Female ","Yes ","Retired ","Democrat ",NA,"Democrat ",NA,"Divorced ","Own ","One ",NA,NA,NA,"College graduate/Bachelors degree ","70-74 ","No ","White/Caucasian ",NA,NA,NA,"Less than $50,000 ","Under $25,000 ",NA,0.2621,"Eastern","FLORIDA","In Center City of Metropolitan Area ","South Atlantic","South ",81411
"Favor ",NA,"Oppose ","Know what term means ",NA,NA,NA,NA,"Completely agree ","Completely agree ","Completely agree ","Completely agree ","Yes ","Yes ","Protestant ","Yes ",328015758,15758,"Female ","No ","Employed full time ","Republican ",NA,"Republican ","Blue collar -- semiskilled, unskilled ","Married ","Own ","Three ","No ","No ","No ","High school complete (grade 12) ","60-64 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"Refused [unspecified after $50,000 or more] ",0.9574,"Eastern","NEW YORK","In Metropolitan Area with No Center City ","Middle Atlantic","North East ",81411
"Strongly favor ",NA,"Favor ","Know what term means ",NA,NA,NA,NA,"Completely agree ","Mostly agree ","Completely agree ","Completely agree ","Yes ","Don't know/Refused ","Jewish ",NA,328015773,15773,"Female ","Yes ","Self employed ","Democrat ",NA,"Democrat ","White collar -- professional, managerial, owner ","Widowed ","Own ","Two ","No ","No ","No ","College graduate/Bachelors degree ","65-69 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$125,000 or more ",0.5049,"Eastern","CONNECTICUT","In Non-Metropolitan Area ","New England","North East ",81411
"Strongly favor ",NA,"Favor ","Know what term means ",NA,NA,NA,NA,"Completely agree ","Completely agree ","Don't know/Refused ","Completely agree ","Yes ","No ","Protestant ","Yes ",328015783,15783,"Female ","Yes ","Retired ","Don't know/Refused ","Neither/Other ","Other party ",NA,"Divorced ","Own ","One ",NA,NA,NA,"Postgraduate Degree, such as Master's, PH.D., MD, JD ","Refused/Nr ","No ","Black/African-american ",NA,NA,NA,"Don't know/refused/Nr ",NA,NA,0.2765,"Eastern","OHIO","Outside Center City, Inside Center City County ","East North Central","Midwest ",81411
"Strongly favor ",NA,"Favor ","Know what term means ",NA,NA,NA,NA,"Completely agree ","Completely agree ","Don't know/Refused ","Mostly agree ","Yes ","No ","Protestant ","No ",328015815,15815,"Female ","Yes ","Homemaker ","Democrat ",NA,"Democrat ",NA,"Married ","Own ","Two ","No ","No ","No ","College graduate/Bachelors degree ","60-64 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$125,000 or more ",0.2959,"Eastern","PENNSYLVANIA","In Center City of Metropolitan Area ","Middle Atlantic","North East ",81411
"Strongly oppose ","Completely disagree ","Favor ","Heard of it, but not sure what it means ",NA,NA,NA,NA,"Mostly agree ","Don't know/Refused ","Mostly agree ","Mostly disagree ","Yes ","No ","Protestant ","Yes ",328015823,15823,"Female ","No ","Employed full time ","Independent ","Republican ","Independent-lean Republican ","White collar -- professional, managerial, owner ","Married ","Own ","Two ","No ","No ","No ","High school incomplete (grades 9, 10, 11) ","40-44 ","No ","White/Caucasian ",NA,NA,NA,"Less than $50,000 ","Under $25,000 ",NA,4.1132,"Central","ALABAMA","Inside Suburban County of Metropolitan Area ","East South Central","South ",81411
"Strongly oppose ","Completely disagree ","Favor ","Heard of it, but not sure what it means ",NA,NA,NA,NA,"Completely agree ","Completely agree ","Completely agree ","Mostly agree ","Yes ","No ","Protestant ","Yes ",328015831,15831,"Male ","Yes ","Employed full time ","Democrat ",NA,"Democrat ","White collar -- professional, managerial, owner ","Married ","Own ","Two ","No ","No ","No ","Associates degree ","55-59 ","No ","Black/African-american ",NA,NA,NA,"$50,000 or more ",NA,"$60,000 but less than $75,000 ",0.5009,"Eastern","MARYLAND","Inside Suburban County of Metropolitan Area ","South Atlantic","South ",81411
"Strongly oppose ","Completely disagree ","Don't know/Refused ","Heard of it, but not sure what it means ",NA,NA,NA,NA,"Completely disagree ","Completely disagree ","Completely disagree ","Completely disagree ","No ","No ","Protestant ","Yes ",328015834,15834,"Female ","Yes ","Homemaker ","Republican ",NA,"Republican ",NA,"Married ","Own ","Four ","No ","No ","No ","College graduate/Bachelors degree ","60-64 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$50,000 but less than $60,000 ",0.6145,"Eastern","VIRGINIA","In Non-Metropolitan Area ","South Atlantic","South ",81411
"Oppose ","Mostly disagree ","Favor ","Know what term means ",NA,NA,NA,NA,"Mostly agree ","Mostly agree ","Mostly agree ","Mostly agree ","Yes ","No ","Catholic ",NA,328015845,15845,"Female ","Yes ","Employed full time ","Republican ",NA,"Republican ","White collar -- professional, managerial, owner ","Married ","Own ","Two ","No ","No ","No ","College graduate/Bachelors degree ","50-54 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$125,000 or more ",0.518,"Central","LOUISIANA","In Non-Metropolitan Area ","West South Central","South ",81411
"Strongly favor ",NA,"Favor ","Know what term means ",NA,NA,NA,NA,"Completely agree ","Don't know/Refused ","Completely agree ","Mostly agree ","Yes ","No ","Protestant ","No ",328015865,15865,"Male ","Yes ","Not currently employed ","Independent ","Democratic ","Independent-lean Democratic ",NA,"Single and never been married ","Own ","Two ","No ","No ","No ","College graduate/Bachelors degree ","55-59 ","No ","White/Caucasian ",NA,NA,NA,"Less than $50,000 ","$40,000 but less than $50,000 ",NA,0.3465,"Central","TEXAS","In Center City of Metropolitan Area ","West South Central","South ",81411
"Oppose ","Mostly agree ","Favor ","Know what term means ",NA,NA,NA,NA,"Completely agree ","Completely agree ","Completely agree ","Completely agree ","Yes ","No ","Protestant ","No ",328015871,15871,"Female ","Yes ","Self employed ","Republican ",NA,"Republican ","Blue collar -- craftsmen/Foremen ","Married ","Own ","Two ","No ","No ","No ","Some college, but no degree ","60-64 ","No ","White/Caucasian ",NA,NA,NA,"$50,000 or more ",NA,"$60,000 but less than $75,000 ",0.6122,"Pacific","OREGON","In Center City of Metropolitan Area ","Pacific","West ",81411
